Pos,Name,Club,Cat,Time
1,Alasdair Mcleod,Shettleston,M,2:56:53
2,Kristian Jones,Dundee Road Runners,M,2:57:23
3,Stewart Whitlie,Carnethy,M40,3:11:14
4,Dessie Flanagan,Carnethy,M40,3:16:43
5,Manny Gorman,Westerlands,M40,3:17:37
6,Bastien Perez,Westerlands,M,3:18:20
7,Donald Naylor,Hunters Bog Trotters,M40,3:19:24
8,Colin Donnelly,Cambuslang Harriers,M40,3:21:49
9,Charlotte Morgan,Carnethy,F40,3:22:46
10,Michael Reid,Carnethy,M40,3:23:25
11,James Britton,Carnethy,M,3:26:31
12,Peter Mackie,Shettleston,M,3:27:34
13,Gwyn Bellamy,Westerlands,M,3:29:20
14,Paul Faulkner,Carnethy,M40,3:31:46
15,Tom Ferrington,Corstorphine AAC,M40,3:32:09
16,Helen Bonsor,Carnethy,F,3:32:49
17,Peter Gardner,Hunters Bog Trotters,M,3:35:32
18,Vivian Scott,Unattached,M,3:36:57
19,Graham Nash,Carnethy,M40,3:37:09
20,Colin Williams,Moorfoot Runners,M40,3:39:47
21,Chris Busby,Carnethy,M,3:39:56
22,Gavin Smith,Unattached,M,3:42:22
23,John Malcolm,Lothian,M,3:53:15
24,Andrea Priestley,Ochil HR,F50,3:54:20
25,David White,Kilmarnock Harriers,M40,3:55:09
26,Neil Arnott,Lomond Hill Runners,M40,3:59:02
27,Neil Mclure,Carn,M40,3:59:39
28,Rob Wilson,Penicuik Barriers,M40,4:08:14
29,Walter Henderson,Shettleston,M40,4:10:08
30,Hugh Mcinnes,Edinburgh AC,M,4:14:21
31,David Walsh,Dunoon Hill Runners,M40,4:14:30
32,Nigel Fowler,Fife AC,M40,4:15:24
33,Michelle Hetherington,Westerlands,F50,4:15:27
34,James Rogers,Hunters Bog Trotters,M,4:16:11
35,Adam Neale,Unattached,M40,4:16:22
36,Martin Coopland,Annan & District,M40,4:16:47
37,Greg Boswell,Unattached,M,4:19:26
38,Outi Kamarainen,Ilkley Harriers,F,4:21:52
39,James Quigley,Unattached,M,4:21:57
40,Paul Appleby,Northumberland FR,M40,4:23:28
41,Richard Hadfield,Portobello,M40,4:26:15
42,Gordon Mccaffrey,Westerlands,M40,4:27:21
43,Helen Wise,Carnethy,F,4:27:30
44,Mark Wheeler,Hamilton Harriers,M,4:31:18
45,Nigel Morton,Unattached,M40,4:31:13
46,Alan Elder,Moorfoot Runners,M40,4:31:58
47,Gio Macdonald,Carnethy,M40,4:32:44
48,Swaz Fraser,Westerlands,M40,4:33:43
49,Chris Blackwood,Moorfoot Runners,M40,4:35:05
50,James Purves,Gala Harriers,M40,4:37:24
51,David Greig,Carn,M40,4:40:58
52,Leyre Flores,Westerlands,F,4:42:56
53,Roddy Cunningham,Westerlands,M,4:42:56
54,Neil Thomas,Hunters Bog Trotters,M40,4:43:51
55,Gordon Eadie,Carnethy,M40,4:44:06
56,Sam Evans,Unattached,M,4:44:08
57,Seona Burnett,Harmeny AC,F40,4:47:36
58,Ben Jessop,Unattached,M,4:48:50
59,Andrew Howett,Carnethy,M,4:49:12
60,Alasdair Dunlop,Unattached,M40,4:49:13
61,James Robson,Unattached,M40,4:49:19
62,David White,Helm Hill Runners,M40,4:49:41
63,Kathleen Aubrey,Helm Hill Runners,F50,4:49:43
64,Ben Cluley,Unattached,M40,4:50:37
65,Fiona Wright,Portobello,F40,4:50:46
66,Gillian Cairns,Penicuik Barriers,F40,4:50:48
67,Roderick Pugh,Kilmarnock Harriers,M40,4:52:25
68,Jan Dawson,Penicuik Barriers,F40,4:53:43
69,Chris Henty,Carnethy,M40,4:56:13
70,James Harris,Unattached,M40,4:56:42
71,Robert Sinclair,Unattached,M,5:00:22
72,David Cheskin,Moorfoot Runners,M40,5:12:22
73,Andrew Mason,Unattached,M40,5:20:24
74,George Douglas,Westerlands,M40,5:30:35
75,Jonathan Cushley,Unattached,M40,5:30:39
76,Peter Bolton,RED Rose Runners,M40,5:31:01
