Pos,Name,Club,Cat,Time
1,Alasdair Anthony,Ochil HR,M,2:47:58
2,Jethro Lennox,Shettleston,M,2:49:10
3,Colin Donnelly,Cambuslang Harriers,M40,2:51:10
4,Graeme Bartlett,Forres Harriers,M40,2:53:46
5,Stewart Whitlie,Carnethy,M40,2:56:01
6,Tom Owens,Shettleston,M,2:56:51
7,Alec Keith,Hunters Bog Trotters,M40,2:57:11
8,Donald Naylor,Hunters Bog Trotters,M,3:00:54
9,Matthew Sullivan,Shettleston,M,3:01:12
10,Manny Gorman,Westerlands,M40,3:01:13
11,David Riach,Westerlands,M40,3:02:18
12,Dave Cummins,Highland HR,M40,3:02:25
13,Jon Ascroft,Carnethy,M,3:04:39
14,Craig Mattocks,Gala Harriers,M,3:05:01
15,Bill Fairmaner,Fife AC,M40,3:05:31
16,Kenny Richmond,Shettleston,M,3:07:13
17,Mark Johnston,Carnethy,M,3:09:00
18,Robin Galloway,Lothian,M40,3:09:13
19,James Britton,Carnethy,M,3:09:37
20,Chris Upson,Westerlands,M40,3:10:20
21,Wull Hynd,Moorfoot Runners,M40,3:11:54
22,Lucy Colquhoun,Moorfoot Runners,F,3:12:35
23,Will Manners,Strathearn Harriers,M40,3:13:20
24,Rob Brookes,Cosmics,M,3:14:36
25,Steven Fallon,Carnethy,M40,3:14:39
26,David Scott,Ochil HR,M50,3:14:43
27,Ian Wellock,Hunters Bog Trotters,M,3:15:45
28,Roger Van Gompel,Dundee Road Runners,M,3:16:07
29,Martin Laing,Unattached,M50,3:16:14
30,Mark Harris,Anster Haddies,M,3:17:26
31,John Coyle,Carnethy,M,3:17:37
32,Jill Mykura,Carnethy,F,3:18:01
33,Benjamin Kemp,Portobello,M,3:18:53
34,Bruce Poll,Lochaber AC,M,3:19:04
35,Ross Bannerman,East Sutherland,M,3:20:39
36,Paul Manson,Hunters Bog Trotters,M,3:22:11
37,John Kay,Fife AC,M40,3:22:43
38,Bruce Smith,Carnethy,M40,3:24:21
39,Graham Kirby,Fife AC,M40,3:24:39
40,Peter Buchanan,Portobello,M40,3:26:17
41,Des Crowe,Penicuik Barriers,M40,3:26:51
42,Tom Scott,Fife AC,M50,3:28:38
43,Dawn Scott,Lochaber AC,F,3:29:13
44,Russell Anderson,Moorfoot Runners,M40,3:31:40
45,Claire Gordon,Hunters Bog Trotters,F,3:33:02
46,Kate Jenkins,Gala Harriers,F,3:33:22
47,Owen Bass,Deeside Runners,M40,3:33:34
48,Donald Mackenzie,Lomond Hill Runners,M,3:34:07
49,Don Reid,Westerlands,M50,3:35:06
50,Steven King,Carn,M,3:35:20
51,Michael Mcgovern,Moorfoot Runners,M,3:35:45
52,Darin Dougal,Moorfoot Runners,M,3:35:46
53,John Donnelly,Westerlands,M40,3:37:09
54,Paul Thompson,Helensburgh AAC,M50,3:37:17
55,Hugh Mcinnes,Edinburgh AC,M,3:38:01
56,Richard Hope,Edinburgh AC,M40,3:38:26
57,Mark Shankey,Hunters Bog Trotters,M,3:39:08
58,Stefan Knupfer,Harmeny AC,M,3:39:55
59,Dan Watson,Lochtayside,M,3:40:10
60,Fergus Johnston,Carnethy,M,3:40:19
61,Graham Johnston,Strathearn Harriers,M,3:40:41
62,Kim Threadgall,Valley Striders,F,3:40:52
63,Gordon Mackenzie,Strathclyde Police AC,M,3:41:49
64,Luke Holt,Solway,M,3:42:14
65,Kenny Macdonald,Carn,M40,3:42:29
66,David Duncan,Ochil HR,M50,3:42:50
67,Marc Roper,Westerlands,M40,3:43:03
68,Martin Hulme,Corstorphine AAC,M50,3:44:20
69,Kevin Harper,Cosmics,M,3:47:11
70,Charles Hutchinson,Hunters Bog Trotters,M,3:47:13
71,Ian Rowland,Dunbar RC,M40,3:47:37
72,Peter Fleming,Unattached,M40,3:48:00
73,Graham Henry,Portobello,M40,3:48:39
74,Jacqui Higginbottom,Carnethy,F40,3:48:51
75,Derek Paton,Carnethy,M,3:48:57
76,Richard Bush,Carnethy,M40,3:49:10
77,Tim Rees,Unattached,M40,3:49:19
78,Mark Roberts,Hunters Bog Trotters,M,3:50:20
79,Steve Helmore,Cosmics,M40,3:52:07
80,Dave Mitchell,Dundee Road Runners,M40,3:52:21
81,Tosh Brannan,Lothian,M40,3:53:10
82,Louise Burt,Fife AC,F40,3:54:07
83,Roderick Pugh,Kilmarnock Harriers,M50,3:54:57
84,Jim Galbraith,Giffnock North,M50,3:56:44
85,Jonny Knox,Anster Haddies,M40,3:57:19
86,Tom Bowie,Unattached,M60,3:58:58
87,Douglas Graham,Unattached,M,3:59:52
88,Jamie Thin,Hunters Bog Trotters,M40,4:01:12
89,John Blair-fish,Carnethy,M50,4:02:03
90,Martin Clarke,Gala Harriers,M50,4:02:34
91,Bryan Bailey,Peebles Cycle Club,M40,4:03:08
92,Ian Mills,Anster Haddies,M40,4:04:11
93,Frank Gioia,Portobello,M,4:04:27
94,Keith Adams,Westerlands,M50,4:04:35
95,Eilidh Anthony,Hunters Bog Trotters,F,4:04:59
96,Jocelyn Scott,Fife AC,F50,4:05:03
97,Bruce Manning,Cosmics,M50,4:06:25
98,Bob Allison,Fife AC,M40,4:06:45
99,Julia Connor,Unattached,F,4:07:01
100,Steven Martin,Gala Harriers,M,4:07:02
101,Sarah Laing,Unattached,F,4:07:21
102,Paul Strachan,Westerlands,M50,4:07:24
103,Joanne Anderson,Carnethy,F,4:07:45
104,Matt Brettle,Cosmics,M,4:07:52
105,Sean O`sullivan,Deeside Runners,M,4:08:56
106,Matt Mulderrig,Edinburgh TRI Club,M40,4:11:17
107,Charlie Love,Dundee Road Runners,M60,4:11:32
108,Ralph Burton,Unattached,M50,4:12:10
109,Craig Love,Dundee Road Runners,M,4:12:20
110,Herbie Mclean,Lochtayside,M60,4:12:28
111,Catriona Fisher,Westerlands,F,4:12:29
112,John Telfer,Northumberland FR,M40,4:13:49
113,Hilary Ritchie,Fife AC,F40,4:14:01
114,George Tait,Cosmics,M,4:14:14
115,Ian Wilson,Cosmics,M40,4:14:15
116,Angus Bowman,Lomond Hill Runners,M50,4:15:36
117,Dick Wall,Hunters Bog Trotters,M50,4:16:10
118,Paul Appleby,Northumberland FR,M40,4:16:28
119,Stewart Barrie,Hunters Bog Trotters,M40,4:16:40
120,Ellen Homewood,Westerlands,F,4:17:54
121,Gary Gutteridge,Cosmics,M50,4:18:24
122,Anita Hamilton,Cosmics,F50,4:18:58
123,Elaine Stewart,Cosmics,F50,4:19:08
124,Lee Curtis,Dunbar RC,M,4:19:16
125,Tom White,Harmeny AC,M50,4:21:06
126,Aegir Maciver,Moorfoot Runners,M,4:21:52
127,David Hay,Central AC,M50,4:22:05
128,Graham Arthur,Highland HR,M60,4:22:42
129,Paul Eunson,Portobello,M50,4:22:50
130,Jonathan Kennedy,Saltwell Harriers,M,4:25:18
131,John Milligan,Bellahouston Harriers,M,4:25:53
132,Elspeth Scott,Westerlands,F40,4:26:18
133,Clive Roberts,Fife AC,M50,4:26:29
134,Mike Lamont,Carnethy,M40,4:27:16
135,Kate Crowe,Penicuik Barriers,F40,4:27:50
136,Alan Scott,Unattached,M,4:28:52
137,Tim Downie,AYR Seaforth,M50,4:29:29
138,John Hamer,Westerlands,M40,4:29:56
139,Deborah Macdonald,Hunters Bog Trotters,F40,4:30:03
140,Alistair Shawcross,Unattached,M,4:30:39
141,Andrea Pogson,Gala Harriers,F40,4:31:16
142,Graham Pogson,Borders Triathletes,M40,4:31:17
143,Tim Mackley,Cosmics,M,4:33:14
144,Chris Clark,Keswick,M50,4:33:30
145,Jim Mcwhinnie,Fife AC,M40,4:34:02
146,Malcolm Maclachlan,Carnethy,M60,4:35:20
147,Allan Macaulay,Carn,M50,4:36:03
148,Michael Milmoe,Forres Harriers,M50,4:36:19
149,David Boyle,Bellahouston Harriers,M40,4:36:25
150,Brian Howie,Carnethy,M50,4:37:34
151,Anne Hay,Dunbar RC,F40,4:38:17
152,Bill Henderson,Carnethy,M50,4:39:00
153,Gregor Heron,Carnethy,M,4:40:20
154,Gillian Clunas,Cosmics,F50,4:43:21
155,Chris Oliver,Hunters Bog Trotters,M60,4:44:52
156,George Armstrong,H.e.l.p.,M60,4:45:14
157,Ian Mcmanus,Irvine RC,M60,4:46:18
158,Ian Wilson,Forfar Road Runners,M40,4:46:40
159,Kim Clark,Keswick,F50,4:46:44
160,Bob Hughes,Ochil HR,M50,4:47:38
161,Andrew Sim,Carn,M40,4:47:51
162,Sandra Rathjen,Hunters Bog Trotters,F,4:49:18
163,Janice Smith,Hunters Bog Trotters,F50,4:53:10
164,Tim Doyle,Penicuik Barriers,M40,4:53:11
165,Paul Richardson,Saltwell Harriers,M,4:53:49
166,Jim Alexander,Lothian,M40,4:56:05
167,Michael O`connor,Carnethy,M,4:56:25
168,Jim Winning,Lomond Hill Runners,M50,4:57:15
169,Peter Walker,Carnethy,M40,4:57:58
170,John Sandbach,Bellahouston Harriers,M40,4:58:54
171,Janet Mcwhinnie,Fife AC,F40,4:59:57
172,Brenda Paul,Westerlands,F,4:59:58
173,Jean Bowman,Lomond Hill Runners,F50,4:59:59
174,Amy Pitch,Unattached,F,5:00:00
175,Nicholas Brown,Corstorphine AAC,M,5:10:26
176,Neil Campbell,Carnethy,M40,5:10:46
