Pos,Name,Club,Cat,Time
1,D Naylor,Hunters Bog Trotters,M,2:58:12
2,J Blackett,Cosmics,M,2:58:33
3,A Davis,Carnethy,M,2:58:50
4,A Keith,Hunters Bog Trotters,M,2:59:06
5,D Mcgonigle,Shettleston,M,3:03:12
6,D Crowe,Shettleston,M,3:06:15
7,E Mackay,Ochil HR,M,3:07:23
8,A Wilson,Dundee Road Runners,M,3:08:21
9,L Thomson,Clayton-le-moors,M,3:10:13
10,J Holt,Clayton-le-moors,M40,3:10:24
11,A Dytch,Westerlands,M40,3:17:06
12,B Waldie,Carnethy,M,3:17:22
13,A Mudge,Carnethy,F,3:19:05
14,M Gorman,Westerlands,M,3:19:38
15,J Clark,Ochil HR,M,3:19:59
16,J Donnely,Shettleston,M,3:20:20
17,D Duncan,Ochil HR,M40,3:20:34
18,C Campbell,Westerlands,M,3:22:14
19,C Eades,Livingston & District,M,3:22:49
20,S Bell,Westerlands,M,3:24:00
21,M Monckton,Ochil HR,M,3:26:50
22,S Whitaker,Clayton-le-moors,M,3:27:14
23,M Macleod,Westerlands,M40,3:28:08
24,W Gibson,Carnethy,M40,3:29:32
25,R Gallagher,Westerlands,M,3:33:08
26,M Creber,Carnethy,F40,3:33:12
27,K Jenkins,Carnethy,F,3:33:36
28,P Baxter,Westerlands,M40,3:35:40
29,C Love,Dundee Road Runners,M,3:36:45
30,P Heath,Lothian,M,3:37:28
31,P Forte,Dundee Road Runners,M40,3:38:47
32,K Whyte,Lochaber AC,M40,3:39:07
33,C Brown,Ochil HR,M,3:39:48
34,W Mykura,Carnethy,M,3:40:16
35,J Wilkinson,Shettleston,M,3:42:00
36,M Macintosh,Ochil HR,F,3:43:17
37,A Mcguire,Fife AC,M40,3:44:19
38,S Dempsey,Livingston & District,M40,3:44:32
39,G Pryde,Lomond Hill Runners,M40,3:45:04
40,R Wall,Hunters Bog Trotters,M40,3:45:48
41,M Hutcheson,Perth Road Runners,M,3:48:16
42,E Scott,Westerlands,F,3:50:10
43,T Ritchie,Westerlands,M,3:50:39
44,B Hunter,Lothian,M40,3:51:24
45,K Clark,Carnethy,M,3:51:24
46,D Reid,Westerlands,M40,3:52:08
47,E Dealtry,Ochil HR,M,3:52:14
48,M Shaw,Unattached,M,3:52:25
49,M Stone,Keswick,M40,3:52:29
50,J Lang,Carn,M40,3:52:49
51,I Mills,Anster Haddies,M,3:54:23
52,G Cameron,Carnethy,M40,3:55:27
53,P Morris,Carnethy,M40,3:57:12
54,B Howie,Unattached,M40,4:00:44
55,D Macdonald,Hunters Bog Trotters,F40,4:03:13
56,B Gauld,Carnethy,M,4:04:46
57,D Lockwood,Unattached,M,4:04:56
58,D Thomson,Keswick,F40,4:05:26
59,G Barker,Fife AC,M40,4:06:02
60,N Rose,Carnethy,M,4:06:30
61,A Campbell,Westerlands,M40,4:06:45
62,E Harvey,Carnethy,M,4:07:39
63,G Stewart,Carnethy,M,4:08:06
64,A Wadsworth,Hunters Bog Trotters,M,4:08:53
65,T Ross,Fife AC,M,4:09:21
66,J Mcwhinnie,Carnethy,M,4:09:59
67,B Jackson,Clayton-le-moors,M,4:11:29
68,R White,Carnethy,M40,4:12:02
69,M Stewart,Carnethy,F40,4:12:05
70,R Sloan,Carnethy,M,4:12:20
71,L Volkwerk,Lochaber AC,M,4:12:44
72,A Nimmo,Carnethy,F,4:13:45
73,K Doonan,Westerlands,M,4:21:34
74,S Templeman,Ochil HR,M,4:23:34
75,N Dyson,Ochil HR,M,4:23:39
76,I Mcmanus,Irvine Athletic,M,4:24:09
77,F Cadger,Perth Road Runners,M40,4:27:41
78,A Meiklejohn,Fife AC,M,4:31:15
79,D Adam,Fife AC,M,4:31:19
80,F Cation,Fife AC,M,4:31:20
81,K Mcguire,Fife AC,M40,4:31:37
82,G Clarke,Ochil HR,M40,4:39:30
83,I Reid,H.e.l.p.,M40,4:39:31
84,R Richardson,Cosmics,M,4:41:08
85,N Dunning,Unattached,M40,4:44:29
86,S Micalizzi,Carnethy,F,4:45:07
87,J Woods,Carn,M,4:45:22
88,N Watson,Cosmics,M,4:49:19
89,A West,Carn,F,4:51:28
90,S Kuz,Carn,M40,4:51:34
91,N West,Carn,M40,4:51:38
92,I Struthers,Westerlands,M40,4:54:22
93,C Watkins,Blackhill Bound,M,4:56:12
94,S Gilchrist,Gala Harriers,F,4:58:09
95,C Hall,Roxburgh Reivers,M,4:58:16
96,C Lane,Road Runners Club,M,4:58:33
97,M Corrie,East Lothian Oriente,M,5:12:58
98,D Scott,H.e.l.p.,M40,5:12:59
99,M Pearson,Tweeddale AC,M,5:14:04
100,F Mclaren,Fife AC,M40,5:24:27
101,M Mclaren,Fife AC,F40,5:24:27
102,J Wightman,Carnethy,F,5:27:36
103,J Robertson,Milburn Harriers,M,5:27:36
104,J Drummond,Central AC,M40,5:27:36
105,C Bedson,Unattached,M,5:32:11
