Pos,Name,Club,Cat,Time
115,P Darling,Haddington ELP,M,3:58:55
116,N Dunning,Unattached,M40,3:59:16
117,I Mills,Fife AC,M,4:00:03
118,J Mccraw,Border H,M40,4:00:32
119,J Cummins,Fife AC,M,4:00:39
120,A Clarke,Unattached,M,4:00:41
121,T Wess,Unattached,M,4:01:28
122,P Henck,Livingston & District,M,4:01:30
123,G Greig,Fife AC,M40,4:01:34
124,R Haworth,Holmfirth HAC,M,4:03:33
125,T Higgs,Dallam SA,M,4:04:08
126,F Cation,Fife AC,M40,4:06:50
127,M Tinker,Teviotdale Harriers,M40,4:12:12
128,A Biltcliffe,Dundee Road Runners,M40,4:12:12
129,R Jaggar,Westerlands,M,4:16:11
130,A Carrington,Shelton Striders,F,4:16:40
131,M Wynne,Unattached,M,4:16:40
132,R Cranston,Hunters Bog Trotters,M,4:16:45
133,P Armitage,Aberdeen AAC,M,4:16:45
134,G Little,Unattached,M40,4:21:15
135,C Love,Dundee Road Runners,M40,4:24:21
136,W Hunter,Lothian,M,4:30:08
137,J Deakin,British Orienteers Squad,F,4:32:23
138,S Peel,British Orienteers Squad,F,4:32:23
139,N Best,Cambridge UNI,F,4:35:32
140,M Sneddon,Carnethy,M,4:50:49
141,H Chalmers,Unattached,M,4:50:49
142,S Smith,Preston,M,4:57:35
143,M Fox,Arbroath Footers,M,4:57:36
144,F Gourlay,Unattached,M,4:57:39
145,M Simon,Preston,M,5:13:26
146,M Small,Clydesdale,F,5:25:39
147,J Coon,Livingston & District,M40,5:25:40
