Pos,Name,Club,Cat,Time
1,Kenny Richmond,Shettleston,M40,2:59:22
2,Jethro Lennox,Shettleston,M40,3:01:32
3,Dessie Flanagan,Carnethy,M40,3:03:30
4,James Britton,Carnethy,M,3:04:52
5,Sam Alexander,Westerlands,M,3:05:47
6,Stewart Whitlie,Carnethy,M50,3:09:49
7,Alec Keith,Hunters Bog Trotters,M50,3:13:43
8,Mark Harris,Anster Haddies,M40,3:16:17
9,Manny Gorman,Westerlands,M40,3:18:15
10,David Riach,Westerlands,M50,3:18:42
11,Fergus Johnston,Carnethy,M,3:24:06
12,Andrew Brown,Norham AC,M,3:25:14
13,Francisco Javier Cabrera Valdes,Highland HR,M,3:25:34
14,Robert Hamlin,Westerlands,M,3:28:14
15,Will Manners,Strathearn Harriers,M50,3:28:27
16,Michael Reid,Carnethy,M40,3:28:46
17,Patrick Harrington,Carnethy,M,3:30:02
18,Stanley Topalian,Westerlands,M,3:31:17
19,Steve Halsall,Westerlands,M,3:33:04
20,Andrew Cox,Moorfoot Runners,M,3:34:33
21,Adam Park,Ochil HR,M,3:34:35
22,Tom Pape,Dark Peak,M40,3:34:39
23,Shona Robertson,Shettleston,F40,3:35:49
24,Jonny Knox,Anster Haddies,M50,3:36:07
25,Colin Williams,Moorfoot Runners,M40,3:36:56
26,Tim Darlow,Gala Harriers,M40,3:38:46
27,David White,Kilmarnock Harriers,M40,3:39:44
28,Gregor Gillespie,Glasgow UNI H&H,M,3:40:32
29,Vivian Scott,Unattached,M,3:44:23
30,Duncan Ball,Penicuik Barriers,M50,3:45:42
31,Ross Cowie,Unattached,M,3:47:06
32,James Montgomery,Bellahouston Harriers,M,3:48:54
33,Walter Henderson,Shettleston,M40,3:50:13
34,Heather Anderson,Fife AC,F,3:51:02
35,Roderick Pugh,Kilmarnock Harriers,M60,3:53:01
36,Greg Boswell,Unattached,M,3:53:24
37,Neil Mclure,Carn,M50,3:53:45
38,Adam Gray,Unattached,M,3:54:50
39,Andrea Priestley,Ochil HR,F50,3:55:16
40,Neil Easton,Stonehaven RC,M,3:56:08
41,Luke Park,Unattached,M,3:56:48
42,Kenneth Short,Unattached,M50,4:03:15
43,Hugh Mcinnes,Edinburgh AC,M40,4:03:45
44,Alex Berry,Westerlands,F,4:04:38
45,Gavin Bussey,Unattached,M40,4:08:33
46,David White,Helm Hill Runners,M40,4:09:17
47,Chris Winter,Northumberland FR,M,4:10:55
48,Richard Ingram,Unattached,M40,4:11:06
49,Sally Rolland,Unattached,F40,4:11:18
50,Nicola Ross,Corstorphine AAC,F40,4:11:19
51,Gordon Pryde,Lomond Hill Runners,M50,4:11:32
52,Graham Kelly,Westerlands,M40,4:14:29
53,Gary Trewartha,Gala Harriers,M40,4:15:14
54,John Duffy,Shettleston,M50,4:16:06
55,John Duff,Northumberland FR,M40,4:17:27
56,Emma Bain,Northumberland FR,F40,4:17:32
57,Neil Thomas,Hunters Bog Trotters,M40,4:17:34
58,Seona Burnett,Harmeny AC,F40,4:17:47
59,David Scott,Ochil HR,M60,4:17:56
60,Duncan Davis,Carnethy,M40,4:18:03
61,Gillian Cairns,Penicuik Barriers,F40,4:18:14
62,Alison Wilson,Fellandale,F50,4:18:20
63,Kenneth Taylor,Unattached,M50,4:18:55
64,Cat Magill,Hunters Bog Trotters,F,4:19:15
65,Andrew Mcronald,Unattached,M40,4:20:30
66,Paul Dudchenko,Linlithgow Harriers,M50,4:21:30
67,Leyre Flores,Westerlands,F,4:21:54
68,James Purves,Gala Harriers,M50,4:22:05
69,Alice Scriven,Unattached,F40,4:24:05
70,Jon Roberts,Unattached,M40,4:24:53
71,Helen Wise,Carnethy,F,4:30:46
72,Jenni Rees-jenkins,Insch Trail Running Club,F40,4:32:54
73,Lorna Mcmillan,Unattached,F40,4:32:55
74,Piotr Horodyski,Unattached,M,4:34:01
75,Hilary Ritchie,Fife AC,F50,4:35:05
76,Gio Macdonald,Carnethy,M40,4:35:30
77,Andrew Fullwood,Glasgow South Road Runners,M50,4:37:03
78,Alan Elder,Moorfoot Runners,M50,4:37:19
79,John Telfer,Northumberland FR,M50,4:39:23
80,Philip Kammer,Cosmics,M60,4:40:09
81,Andrew Waugh,Unattached,M40,4:41:27
82,Andrew Howett,Carnethy,M,4:44:01
83,Alex Wray,Stirling TRI Club,M,4:44:17
84,Laura Clark,Unattached,F,4:44:19
85,Jocelyn Scott,Fife AC,F60,4:44:51
86,Gordon Bee,Unattached,M40,4:48:25
87,Heather Young,Carnethy,F,4:48:40
88,Lorna Ascroft,Carnethy,F,4:48:49
89,Michael Greens,Penicuik Barriers,M,4:53:28
90,David Walsh,Dunoon Hill Runners,M50,4:53:51
91,Sadie Kemp,Penicuik Barriers,F40,4:56:51
92,Ruben Villalain,Edinburgh AC,M,5:00:58
93,Nigel Fowler,Fife AC,M40,5:02:21
94,Lucy Topalian,Westerlands,F,5:08:36
95,Gilly Marshall,Penicuik Barriers,F40,5:09:00
96,Gary Lees,Unattached,M,5:09:53
97,Zoe Strong,Unattached,F,5:12:05
98,Allan Munro,Unattached,M40,5:23:28
99,Malcolm Keillor,Unattached,M40,5:23:38
100,Alastair Webb,Unattached,M50,5:33:35
