Pos,Name,Club,Cat,Time
1,A Davis,Carnethy,M,2:56:57
2,J Coyle,Carnethy,M,3:00:00
3,D Cummins,Shettleston,M,3:03:08
4,A Ward,Carnethy,M,3:04:45
5,D Hirst,Deeside Runners,M,3:05:23
6,M Flynn,Carnethy,M,3:05:47
7,M Gorman,Westerlands,M,3:09:12
8,N Melville,Livingston & District,M,3:09:52
9,S Taylor,Clayton-le-moors,M,3:11:06
10,B Waldie,Carnethy,M,3:12:28
11,C Eades,Livingston & District,M,3:13:45
12,D Milligan,Solway,M40,3:14:37
13,A Wilson,Dundee Road Runners,M,3:17:05
14,G Woolnough,Kenda,M40,3:19:20
15,R Shaw,Carnethy,M,3:20:01
16,J Blairfish,Carnethy,M40,3:20:24
17,G Simpson,Hunters Bog Trotters,M,3:20:42
18,J Donnelly,Shettleston,M,3:20:52
19,J Holden,Fife AC,M40,3:21:20
20,J Faulkner,Keswick,M,3:21:47
21,J Clark,Ochil HR,M,3:22:04
22,J Tullie,Teviotdale Harriers,M,3:22:06
23,R Macintyre,Clydesdale,M,3:22:16
24,G Armstrong,Haddington ELP,M,3:22:54
25,P Baxter,Westerlands,M,3:23:33
26,C Love,Dundee Road Runners,M,3:24:09
27,J Bowers,Ochil HR,M,3:26:44
28,W Gibson,Carnethy,M,3:28:12
29,S Rivers,Unattached,M,3:28:54
30,D Rogers,Westerlands,M,3:29:59
31,R Greenaway,Ochil HR,M40,3:30:02
32,M Diver,Clydesdale,M,3:30:07
33,D Cryle,Lomond Hill Runners,M,3:30:52
34,T Ross,Fife AC,M40,3:31:30
35,M Stone,Clayton-le-moors,M,3:31:45
36,A Matthewson,Livingston & District,M,3:31:57
37,G Pryde,Lomond Hill Runners,M,3:33:10
38,J Durnin,Dundee Road Runners,M,3:33:49
39,D Shiell,Carnethy,M,3:34:18
40,W Mykura,Carnethy,M,3:35:08
41,R Stout,Carnethy,M,3:36:35
42,C Pryce,Unattached,M,3:37:16
43,P Buchan,Fife AC,M,3:37:41
44,B Landels,Fife AC,M,3:37:43
45,A Morrison,Arbroath Footers,M40,3:38:36
46,E Scott,Westerlands,F,3:38:54
47,J Paxton,Gala Harriers,M40,3:39:29
48,P Forte,Dundee Road Runners,M,3:41:08
49,D Sanderson,Ambleside AC,M,3:43:24
50,P Shaw,Hunters Bog Trotters,M,3:43:44
51,R Williamson,Kings Own Sthrn Brdrs,M,3:45:20
52,N Dyson,Mandal,M,3:45:45
53,J Cairns,Westerlands,F40,3:46:13
54,T Ritchie,Westerlands,M40,3:46:17
55,C Downie,Lothian,M,3:46:26
56,B Hughes,Ochil HR,M40,3:47:07
57,S Ruffel,Carnethy,M40,3:48:08
58,J Littlewood,Scottish Vets,M,3:48:32
59,I Richardson,North Shields Poly,M40,3:48:52
60,A Wanless,Blackhill Bound,M40,3:52:33
61,P Morris,Carnethy,M,3:55:12
62,I Holland,North Shields Poly,M40,3:55:52
63,D Adams,Hamilton Harriers,M40,3:55:55
64,D Farquarson,Arbroath Footers,M,3:56:28
65,L Gorman,Lochaber AC,F40,3:58:59
66,D Macdonald,Lasswade AC,F40,3:59:10
67,A Ives-smith,North Shields Poly,M,3:59:22
68,J Quinn,Unattached,M40,3:59:28
69,M Paxton,Perth Road Runners,M40,3:59:41
70,S Lewsley,Unattached,F40,4:01:17
71,I Donnelly,Law And District,M40,4:01:31
72,J Page,Holmfirth HAC,M40,4:01:34
73,R Garnett,Esoc,M40,4:01:49
74,A Thomson,Lomond Hill Runners,M,4:02:07
75,M Silmon,North Shields Poly,M,4:02:51
76,D Greenlee,Hunters Bog Trotters,M,4:04:04
77,R Taylor,Keswick,F,4:06:08
78,F Cation,Fife AC,M40,4:06:43
79,N Rose,Carnethy,M,4:08:39
80,3 A Barr,Mid Argyll AC,M,4:10:01
81,D Turnbull,East Kilbride AAC,M,4:13:47
82,J Arden,Blackhill Bound,M40,4:14:21
83,J Drummond,JGB CE,M40,4:14:48
84,N Dunning,Unattached,M40,4:15:46
85,A Paterson,Calderglen Harriers,M40,4:18:09
86,J Mcleod,Unattached,M40,4:20:50
87,R Tavendale,Dundee Road Runners,M40,4:22:24
88,D Morgan,Dundee Road Runners,M,4:23:02
89,T Collins,Carnethy,M40,4:25:38
90,N Schierloh,Carnethy,M40,4:25:38
91,B Pearce,Salford,M,4:26:54
92,D Scott,H.e.l.p.,M40,4:30:06
93,I Reid,H.e.l.p.,M40,4:32:20
94,P Halliday,H.e.l.p.,M40,4:32:20
95,P Hunter,Dereham Runners,M40,4:32:27
96,P Hamburgh,Carnethy,M40,4:32:30
97,G Yarnell,Arbroath Footers,M,4:35:16
98,J Brown,North Shields Poly,M40,4:35:17
99,R Adams,Norham AC,M40,4:38:05
100,N Macdonald,Carnethy,M,4:40:03
101,J Howard,Preston,M,4:42:40
102,R Hopper,Blackhill Bound,M40,4:43:16
103,R Gatehouse,Lomond Hill Runners,M40,4:43:50
104,P Baines,Unattached,M40,4:51:14
105,D Wall,Hunters Bog Trotters,M40,4:53:21
106,B Cockburn,H.e.l.p.,M40,4:53:32
107,P Lemoncello,Fife AC,F,4:53:49
108,R Murphy,Unattached,M,4:54:12
109,J Potts,Blackhill Bound,M40,4:54:26
110,D Robson,Unattached,M40,4:54:26
111,C Hall,RR,M40,4:55:34
112,J Smith,Todmorden,M,5:12:17
113,J Newby,Todmorden,M,5:12:17
114,S Keith,Unattached,M,5:28:38
115,P Hirst,Unattached,M40,5:29:05
