Pos,Name,Club,Cat,Time
65,Kenny Davidson,Moorfoot Runners,M40,4:10:31
66,William Mcculloch,Gala Harriers,M50,4:10:50
67,Steffen Gorgas,Westerlands,M40,4:11:46
68,David Riach,Westerlands,M40,4:11:49
69,Willie Gibson,Carnethy,M50,4:12:26
70,Graham Kelly,Westerlands,M40,4:12:51
71,Michelle Hetherington,Westerlands,F40,4:13:52
72,Edward Crockett,Unattached,M,4:14:35
73,David Malia,Mercia,M40,4:15:52
74,Jim Stalker,Lochaber AC,M50,4:15:54
75,David Cruickshank,Unattached,M40,4:16:44
76,Robert Donaldson,Unattached,M,4:16:45
77,Joeleen Mckean,Gala Harriers,F,4:17:00
78,Eck Anderson,Anster Haddies,M,4:17:34
79,Sarah Mckechnie,Penicuik Barriers,F,4:17:54
80,Murray Allison,Unattached,M40,4:18:12
81,Martin Twigg,Hunters Bog Trotters,M40,4:19:22
82,Euan Mackinnon,Carnethy,M40,4:22:56
83,Neill Mitchell,Fife AC,M40,4:23:11
84,Richard Ingram,Cosmics,M40,4:23:56
85,Fiona Kelsall,Ochil HR,F40,4:24:12
86,Robin Irvine,Unattached,M,4:25:00
87,Fiona Dalgleish,Gala Harriers,F40,4:25:09
88,Andrew Sim,Carn,M40,4:29:26
89,Ray Murdoch,Lochaber AC,M60,4:30:24
90,Ian Hawkins,Fife AC,M50,4:31:39
91,Richard Hadfield,Portobello,M40,4:32:46
92,Daniel Clarke,Fife AC,M,4:33:25
93,Sarah Adam,Westerlands,F,4:34:08
94,Christine Menhennet,Westerlands,F50,4:35:58
95,Tom Bowie,Unattached,M60,4:36:48
96,Sarah Sheridan,Unattached,F40,4:41:30
97,Murdo Macleod,Westerlands,M60,4:46:17
98,Chris Huntley,Tinto Hill Runners,M50,4:46:38
99,Helen Wise,Carnethy,F,4:47:17
100,Chris Gillies,Unattached,M40,4:47:18
101,Alick Walkinshaw,Tinto Hill Runners,M50,4:48:16
102,Graeme Cumming,Cosmics,M40,4:48:44
103,Colin Reynolds,Lomond Hill Runners,M40,4:49:46
104,John Hamer,Westerlands,M50,4:50:22
105,John Mckean,Hunters Bog Trotters,M50,4:50:24
106,David Stakes,Bellahouston Harriers,M50,4:52:28
107,Eddie Balfour,Moorfoot Runners,M40,4:53:18
108,Jonathan Skinner,RAF Leuchars,M,4:53:52
109,Stuart Harth,RAF Leuchars,M,4:53:53
110,Alex Vaughan,RAF Leuchars,M,4:53:55
111,Brian Brennan,Westerlands,M50,4:54:23
112,Hugh Mcpherson,Tinto Hill Runners,M60,4:55:54
113,George Douglas,Westerlands,M40,5:01:44
114,Robert Summers,Beacon Runners,M40,5:02:27
115,Jo Schreiber,Girvan AAC,F40,5:05:04
116,Liz Killean,Fife AC,F40,5:05:09
117,Gordon Bulloch,Westerlands,M,5:05:20
118,Craig Wallace,Vegan Runners,M,5:06:11
119,Neil Mclure,Carn,M40,5:06:55
120,Alan Johnston,Gala Harriers,M40,5:12:27
121,Keith King,Gala Harriers,M40,5:13:57
122,Anna Graham,Beacon Runners,F,5:14:38
123,Stephen Greer,Carn,M50,5:19:20
124,James Purves,Gala Harriers,M50,5:21:21
125,Jo Polak,Highland HR,F50,5:27:08
126,Graham Flockhart,Unattached,M,5:28:19
127,Douglas Mckay,Unattached,M40,5:28:21
128,Alan Hayes,Unattached,M,5:28:22
129,William Pikett,Norham AC,M40,5:32:50
130,Chris Golightly,Unattached,M40,5:41:37
131,Cali Ingham,Carnethy,F50,5:57:42
