Pos,Name,Club,Cat,Time
1,Colin Donnelly,Cambuslang Harriers,M50,2:48:48
2,Fergus Johnston,Carnethy,M,2:52:12
3,Alasdair Anthony,Ochil HR,M,2:53:14
4,Stewart Whitlie,Carnethy,M50,2:54:49
5,Paul Faulkner,Carnethy,M40,2:57:56
6,Ross Campbell,Highland HR,M,2:58:53
7,Michael Reid,Carnethy,M,2:59:36
8,Dave Eiser,Ochil HR,M,3:00:43
9,Mark Harris,Anster Haddies,M40,3:01:38
10,David Fulton,Hunters Bog Trotters,M,3:04:08
11,Angela Mudge,Carnethy,F40,3:08:39
12,Manny Gorman,Westerlands,M40,3:15:13
13,Charlotte Morgan,Carnethy,F,3:18:19
14,Brian Bonnyman,Westerlands,M40,3:19:07
15,James Britton,Carnethy,M,3:21:46
16,Stanley Topalian,Westerlands,M,3:22:25
17,Grant Macdonald,Bellahouston Harriers,M,3:22:58
18,Colin Doig,Hunters Bog Trotters,M,3:23:34
19,Andrew Gilmore,Carnethy,M,3:24:24
20,Alan Gilkison,Westerlands,M40,3:24:54
21,Jon Gay,Lochaber AC,M40,3:26:08
22,Peter Buchanan,Portobello,M50,3:32:15
23,James Callender,Westerlands,M,3:34:49
24,Cameron Burt,Westerlands,M,3:35:27
25,Neil Burnett,Carnethy,M40,3:35:44
26,Andrew Normand,Carnethy,M,3:36:34
27,Chris Upson,Westerlands,M50,3:37:07
28,Eddie Balfour,H.e.l.p.,M40,3:37:32
29,Peter Mackie,Shettleston,M,3:38:37
30,Hugh Mcinnes,Edinburgh AC,M,3:39:35
31,Gregor Stewart,Westerlands,M,3:40:27
32,John Binnie,Lochaber AC,M40,3:40:36
33,David White,Kilmarnock Harriers,M40,3:41:29
34,Gordon Pryde,Lomond Hill Runners,M50,3:42:55
35,Robert Patterson,Unattached,M,3:44:03
36,Lisa Gamble,Carnethy,F,3:45:27
37,Morag Mcclelland,Hunters Bog Trotters,F,3:48:23
38,Ali Kennedy,Lochaber AC,M50,3:48:32
39,Duncan Ball,Penicuik Barriers,M50,3:49:11
40,James Addie,Dunbar RC,M,3:50:39
41,Hilary Holding,Carnethy,F40,3:51:12
42,Alayne Finlay,Ochil HR,F,3:52:24
43,Julia Connor,Unattached,F40,3:52:45
44,Simon Titmuss,Carnethy,M40,3:52:52
45,Ian Rowland,Dunbar RC,M50,3:53:36
46,Joanne Thom,Edinburgh AC,F,3:53:37
47,Ewan Paterson,Moray Road Runners,M60,3:55:22
48,Mark Caldwell,AYR Seaforth,M40,3:57:25
49,Graham Henry,Portobello,M40,3:57:51
50,Anthony Lunn,Gala Harriers,M40,3:59:27
51,Dominic Ketley,Carnethy,M,3:59:33
52,Jacqui Higginbottom,Carnethy,F40,4:00:01
53,John Donnelly,Westerlands,M40,4:01:01
54,Craig Freshwater,Hunters Bog Trotters,M,4:01:08
55,Marcus Naylor,Gala Harriers,M40,4:01:44
56,Louise Burt,Fife AC,F40,4:02:36
57,Iain Gilmore,Carnethy,M,4:03:44
58,Charles Garland,Unattached,M40,4:04:14
59,Alan Tait,Tinto Hill Runners,M40,4:04:34
60,Hilary Ritchie,Fife AC,F50,4:05:03
61,Gregor Heron,Carnethy,M40,4:05:07
62,Neil Gilmore,Carnethy,M50,4:05:56
63,Lee Curtis,Dunbar RC,M40,4:06:11
64,Ivor Normand,Hunters Bog Trotters,M40,4:10:17
