Pos,Name,Club,Cat,Time
1,Colin Donnelly,Cambuslang Harriers,M40,2:47:09
2,Ray Ward,Hunters Bog Trotters,M,2:56:38
3,Alec Keith,Hunters Bog Trotters,M40,2:57:31
4,Dan Gay,Hunters Bog Trotters,M,2:58:05
5,Billy Minto,Hunters Bog Trotters,M40,3:01:16
6,Donald Naylor,Hunters Bog Trotters,M,3:01:58
7,Ali Hubbard,Deeside Runners,M40,3:04:48
8,Al Hart,Hunters Bog Trotters,M,3:05:59
9,Jon Ascroft,Carnethy,M,3:08:36
10,Alasdair Anthony,Ochil HR,M,3:11:54
11,James Britton,Carnethy,M,3:11:59
12,David Riach,Westerlands,M40,3:12:00
13,Adrian Davis,Lomond Hill Runners,M40,3:13:57
14,Chris Upson,Westerlands,M40,3:14:42
15,Steven Cairns,Hunters Bog Trotters,M,3:17:48
16,Wull Hynd,Moorfoot Runners,M40,3:18:36
17,John Kay,Fife AC,M40,3:22:11
18,Ian Wellock,Hunters Bog Trotters,M,3:26:28
19,David Scott,Ochil HR,M50,3:28:16
20,Ian Rowland,Dunbar RC,M40,3:29:00
21,Lucy Colquhoun,Moorfoot Runners,F,3:29:15
22,Phil Mowbray,Hunters Bog Trotters,M,3:29:30
23,Karl Winkler,Edinburgh AC,M40,3:30:09
24,Will Mair,Hunters Bog Trotters,M,3:30:37
25,Darin Dougal,Moorfoot Runners,M,3:32:55
26,Ross Bannerman,East Sutherland,M,3:33:29
27,Phil Williams,Central AC,M,3:34:56
28,Andy Edwards,Blane Runners,M,3:35:26
29,Steffen Gorgas,Westerlands,M,3:36:30
30,Tosh Brannan,Lothian,M40,3:39:18
31,Ellen Homewood,Westerlands,F,3:39:21
32,David Rogers,Westerlands,M40,3:40:39
33,Michael Mcgovern,Moorfoot Runners,M,3:40:42
34,Mick James,Carnethy,M40,3:41:03
35,Kenny Short,Borders Triathletes,M40,3:41:48
36,Geoff Simpson,Hunters Bog Trotters,M40,3:43:38
37,Stewart Barrie,Hunters Bog Trotters,M40,3:47:08
38,Matt Mulderrig,Edinburgh TRI Club,M40,3:51:11
39,Tom Barr,Hunters Bog Trotters,M,3:56:05
40,Graham Kelly,Westerlands,M,3:56:30
41,Bob Allison,Fife AC,M40,3:57:10
42,Graham Henry,Portobello,M40,3:57:50
43,Hugh Kerr,Central AC,M40,3:58:35
44,Rob Stephens,Northumberland FR,M40,4:00:46
45,Miranda Grant,Hunters Bog Trotters,F,4:02:19
46,Michael Diver,Clydesdale,M40,4:03:07
47,Derek Jablonski,Lomond Hill Runners,M50,4:04:41
48,Rupert Nash,Hunters Bog Trotters,M,4:05:25
49,Alex Kemp,Unattached,M,4:06:08
50,Simon Fox,Fife AC,M40,4:06:17
51,Kenny Leinster,Calderglen Harriers,M40,4:06:42
52,Chris Blackwood,Moorfoot Runners,M,4:07:14
53,Jo Schreiber,Girvan AAC,F40,4:08:21
54,Alasdair Hood,Fife AC,M40,4:11:30
55,Eddie Balfour,Moorfoot Runners,M40,4:13:02
56,Derek Robertson,Ochil HR,M,4:13:26
57,David Rudkin,Unattached,M,4:14:03
58,Marcel Kaljee,Moorfoot Runners,M40,4:14:16
59,Andrina Buchanan,Unattached,F40,4:15:55
60,John Telfer,Northumberland FR,M40,4:20:12
61,Stephen Bell,Helensburgh AAC,M40,4:22:06
62,Will Hugh Bailey,Hunters Bog Trotters,M,4:22:33
63,Deborah Macdonald,Hunters Bog Trotters,F40,4:23:55
64,Peter Mcclelland,Hunters Bog Trotters,M,4:24:04
65,Marcel Van Oijen,Unattached,M40,4:27:04
66,Gordon Eadie,Carnethy,M40,4:28:28
67,Laurence Carvalho,Moorfoot Runners,M40,4:28:53
68,David Hay,Central AC,M40,4:29:49
69,Tom Harley,H.e.l.p.,M40,4:30:32
70,Dick Wall,Hunters Bog Trotters,M50,4:34:56
71,Ian Campbell,Hunters Bog Trotters,M40,4:35:44
72,John Littlewood,Carnethy,M60,4:38:41
73,Colin Ledlie,Carnethy,M40,4:39:52
74,Nigel Rose,Carnethy,M60,4:40:00
75,Isobel Knox,Hunters Bog Trotters,F,4:43:31
76,Shane Bouchier,Carnethy,M,4:44:20
77,Cameron Scott,Carnethy,M40,4:44:51
78,Carrie Fox,Fife AC,F40,4:48:39
79,Tim Doyle,Penicuik Barriers,M40,4:48:40
80,Andy Wadsworth,Hunters Bog Trotters,M40,4:49:20
81,Alex Simpson,Strathaven Striders,M50,4:52:26
82,Rod Dalitz,Carnethy,M50,4:52:56
83,Michael O`connor,Carnethy,M,4:54:02
84,Ian King,Carnethy,M,4:55:34
85,Karen Meikle,Carnethy,F40,5:14:14
86,Phillipa Headley,Carnethy,F,5:14:14
87,Ellen Thomson,Helensburgh AAC,F40,5:20:50
88,Shelley Spencer,Strathaven Striders,F40,5:20:51
