Pos,Name,Club,Cat,Time
1,Stewart Whitlie,Carnethy,M40,2:52:32
2,Colin Donnelly,Cambuslang Harriers,M40,2:55:30
3,Ali Hubbard,Deeside Runners,M,3:02:58
4,Al Hart,Hunters Bog Trotters,M,3:06:31
5,Andy Kitchin,Edinburgh AC,M40,3:09:25
6,Dan Gay,Hunters Bog Trotters,M,3:09:31
7,Jon Ascroft,Carnethy,M,3:14:33
8,Billy Minto,Hunters Bog Trotters,M40,3:16:01
9,David Riach,Westerlands,M40,3:16:53
10,Stuart Simpson,Stornoway AC,M,3:19:54
11,Wull Hynd,Moorfoot Runners,M40,3:23:27
12,Matt Williamson,Bellahouston Harriers,M,3:24:10
13,Phil Mowbray,Hunters Bog Trotters,M,3:27:15
14,David Scott,Ochil HR,M50,3:29:37
15,Raymond Hardie,Moray Road Runners,M40,3:37:29
16,James Britton,Carnethy,M,3:37:41
17,Olly Stephenson,Carnethy,M,3:37:49
18,Sandy Bennet,Unattached,M40,3:39:06
19,Damon Rodwell,Border H,M,3:40:51
20,John Kay,Fife AC,M40,3:42:47
21,Colin Hutt,Unattached,M,3:42:55
22,Chris Upson,Westerlands,M40,3:43:26
23,Elke Prasad,Squadra Porcini,F,3:47:02
24,Mark Foster,Unattached,M40,3:47:52
25,Peter Duggan,Lochaber AC,M40,3:47:58
26,Richard Hessey,Carnethy,M40,3:49:21
27,Gio Macdonald,Carnethy,M40,3:49:27
28,Tosh Brannan,Lothian,M40,3:50:52
29,Graham Kelly,Westerlands,M,3:55:12
30,Stewart Barrie,Hunters Bog Trotters,M,3:56:46
31,Gilbert Bain,Moray Road Runners,M40,3:57:05
32,Steven Fallon,Carnethy,M40,3:57:42
33,Ross Mcinroy,Helensburgh AAC,M50,3:59:36
34,Graham Henry,Portobello,M40,4:03:06
35,Hilary Holding,Carnethy,F,4:08:30
36,Gregor Heron,Carnethy,M,4:09:58
37,John Telfer,Northumberland FR,M40,4:13:17
38,Michael Diver,Clydesdale,M40,4:13:55
39,Neil Thomas,Hunters Bog Trotters,M,4:14:34
40,Hugh Kerr,Central AC,M40,4:14:48
41,Charlie Love,Dundee Road Runners,M60,4:16:03
42,Dave Calder,Westerlands,M40,4:17:00
43,Paul Hill,Fusion Triathlon,M40,4:22:41
44,Brian Howie,Carnethy,M50,4:33:00
45,Karen Meikle,Carnethy,F40,4:38:35
46,Hamilton Semple,Westerlands,M50,4:38:42
47,Dick Wall,Hunters Bog Trotters,M50,4:41:08
48,Alistair Ross,Unattached,M,4:51:08
49,Bob Hughes,Ochil HR,M50,4:51:21
50,Lisa Macdermid,Strathearn Harriers,F50,4:51:28
51,Jim Alexander,Lothian,M40,4:55:43
52,Nigel Priestley,Annan & District,M40,4:59:00
53,Pauline Mcadam,Teviotdale Harriers,F50,5:00:08
54,Callum Anderson,Unattached,M,5:03:26
55,Mike Pearson,Moorfoot Runners,M60,5:27:59
