Pos,Name,Club,Cat,Time
1,C Donnelly,Cambuslang Harriers,M40,2:51:04
2,P Mowbray,Hunters Bog Trotters,M,2:51:42
3,J Coyle,Carnethy,M,2:54:45
4,A Keith,Hunters Bog Trotters,M,2:57:02
5,D Naylor,Hunters Bog Trotters,M,3:04:38
6,D Godfree,Lothian,M,3:05:35
7,A Anderson,Solway,M,3:05:57
8,M Shaw,Unattached,M40,3:09:07
9,C Pryce,Cosmics,M40,3:09:24
10,D Hirst,Deeside Runners,M40,3:12:04
11,L Grundy,Northumberland FR,M,3:14:19
12,C Davies,Carnethy,M,3:17:28
13,M Diver,Clydesdale,M,3:17:38
14,M Hulme,Corstorphine AAC,M50,3:18:17
15,G Macinnes,Carnethy,M,3:20:07
16,I Normand,Hunters Bog Trotters,M,3:20:31
17,C Eades,Lothian,M,3:20:40
18,K Jenkins,Carnethy,F,3:21:21
19,R Logan,Gala Harriers,M,3:22:00
20,C Upson,Westerlands,M40,3:22:18
21,M Macleod,Westerlands,M50,3:22:34
22,K Robertson,Cosmics,M,3:24:19
23,A Lewsley,Keswick,M40,3:25:00
24,H Chambers,Saddleworth,M,3:25:12
25,A Wilson,Dundee Road Runners,M,3:25:25
26,S Barrie,Carnethy,M,3:25:27
27,J Rathjen,Hunters Bog Trotters,M,3:25:37
28,J Blair-fish,Carnethy,M50,3:27:38
29,N Aitchison,Gala Harriers,M40,3:27:44
30,M Clark,Hunters Bog Trotters,F,3:30:09
31,C Godfree,Unattached,M,3:34:19
32,R Watson,Ochil HR,M40,3:34:42
33,S Gorgas,Westerlands,M,3:35:00
34,A Adams,Cosmics,M40,3:35:11
35,W Gibson,Carnethy,M40,3:35:18
36,J Gallacher,Ochil HR,M40,3:35:42
37,D Wright,Hunters Bog Trotters,M,3:36:01
38,T Brannand,Lothian,M40,3:39:38
39,D Baker,Hunters Bog Trotters,M40,3:41:12
40,P Baxter,Westerlands,M40,3:42:17
41,M Mitchell,Fife AC,M,3:44:28
42,C Menhennet,Westerlands,F40,3:44:49
43,C Gordon,Hunters Bog Trotters,F,3:46:12
44,G Henry,Portobello,M,3:46:16
45,G Gutteridge,Cosmics,M40,3:46:26
46,R Greenaway,Central AC,M50,3:50:36
47,J Hall,Westerlands,M40,3:52:28
48,J Beech,Hunters Bog Trotters,M40,3:55:07
49,E Scott,Westerlands,F,3:55:20
50,M Straughen,Norham AC,M,3:55:26
51,J Grundy,Northumberland FR,F,3:57:00
52,G Irvine,Highland HR,F40,3:57:14
53,N Rose,Carnethy,M60,3:59:08
54,K Boocock,Cosmics,F40,3:59:54
55,L Provan,Fife AC,F,4:01:09
56,A Gordon,Unattached,M,4:01:48
57,L Turnbull,Norham AC,M40,4:01:59
58,E Dealtry,Ochil HR,M50,4:02:25
59,W Kittel,Portobello,M50,4:02:40
60,B Jackson,Clayton-le-moors,M50,4:03:21
61,B Howie,Carnethy,M50,4:04:19
62,J Barrott,Saddleworth,M50,4:06:24
63,A Lawson,Dundee Road Runners,M50,4:07:02
64,E Stewart,Cosmics,F40,4:10:02
65,R Bell,Carnethy,M,4:10:38
66,T Sander,Unattached,M,4:11:28
67,A Powell,Carnethy,F,4:11:55
68,H Adamson,Cosmics,F,4:12:37
69,P Ferguson,Cosmics,M50,4:13:55
70,D Gibson,Saddleworth,M60,4:15:22
71,T Doyle,Penicuik Barriers,M,4:15:47
72,R Boswell,Unattached,M50,4:15:48
73,M Maclachlan,Carnethy,M50,4:16:14
74,P Hill,Unattached,M40,4:17:54
75,R Dalitz,Carnethy,M50,4:19:02
76,A Richmond,Hunters Bog Trotters,F40,4:20:29
77,A Lennie,Carnethy,M40,4:20:48
78,G Heron,Unattached,M,4:21:08
79,C Crane,Lothian,M40,4:22:09
80,D Wall,Hunters Bog Trotters,M40,4:22:28
81,R Halenko,Clayton-le-moors,M50,4:23:57
82,A West,Carn,F50,4:25:54
83,I Matheson,Forfar Road Runners,M,4:33:01
84,R Bradley,Saddleworth,M50,4:33:02
85,C Pretzlik,Unattached,M,4:36:12
86,A Hind,Carnethy,M,4:38:09
87,K Reid,Strathaven Striders,M40,4:40:44
88,M Jeffrey,Hunters Bog Trotters,F,4:41:09
89,B Hughes,Ochil HR,M50,4:42:06
90,C Lavery,Unattached,M50,4:46:02
91,I Reid,H.e.l.p.,M40,4:46:40
92,P Halliday,H.e.l.p.,M40,4:46:41
93,D Turnbull,Westerlands,M60,4:48:32
94,C Roberts,Northumberland FR,F40,5:00:38
95,S Rathjen,Hunters Bog Trotters,F,5:02:03
96,J Drummond,Central AC,M50,5:02:03
